iter	Passed	Remaining
938	2111	137
939	2112	134
940	2114	132
941	2117	130
942	2119	128
943	2122	125
944	2123	123
945	2125	121
946	2127	119
947	2128	116
948	2130	114
949	2131	112
950	2135	110
951	2137	107
952	2138	105
953	2140	103
954	2142	100
955	2144	98
956	2146	96
957	2147	94
958	2150	91
959	2152	89
960	2153	87
961	2155	85
962	2157	82
963	2159	80
964	2161	78
965	2163	76
966	2166	73
967	2168	71
968	2170	69
969	2171	67
970	2174	64
971	2176	62
972	2177	60
973	2180	58
974	2182	55
975	2183	53
976	2185	51
977	2186	49
978	2189	46
979	2191	44
980	2193	42
981	2195	40
982	2196	37
983	2198	35
984	2201	33
985	2204	31
986	2205	29
987	2209	26
988	2211	24
989	2213	22
990	2215	20
991	2218	17
992	2220	15
993	2222	13
994	2225	11
995	2227	8
996	2229	6
997	2231	4
998	2232	2
999	2236	0
